timestamp,container_name,cpu_percent,memory_used_mib,network_rx,network_tx,resource_count
2026-09-22T23:05:25.519277,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:05:25.519277,cloud-app,42.48,24.18,3.57MB,3.35MB,2
2026-09-22T23:05:32.611226,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:05:32.611226,cloud-app,40.87,24.63,3.59MB,3.36MB,2
2026-09-22T23:05:39.741104,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:05:39.741104,cloud-app,38.23,24.25,3.61MB,3.38MB,2
2026-09-22T23:05:46.453716,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:05:46.453716,cloud-app,38.5,23.57,3.64MB,3.4MB,2
2026-09-22T23:05:53.569043,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:05:53.569043,cloud-app,39.35,24.64,3.65MB,3.42MB,2
2026-09-22T23:06:00.699872,cloud-app-1,0.04,21.68,3.07kB,1.86kB,2
2026-09-22T23:06:00.699872,cloud-app,37.99,24.12,3.68MB,3.44MB,2
2026-09-22T23:06:07.453517,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:06:07.453517,cloud-app,76.77,24.92,3.71MB,3.47MB,2
2026-09-22T23:06:14.539276,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:06:14.539276,cloud-app,79.69,24.8,3.76MB,3.51MB,2
2026-09-22T23:06:21.652451,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:06:21.652451,cloud-app,81.36,24.5,3.8MB,3.55MB,2
2026-09-22T23:06:28.473959,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:06:28.473959,cloud-app,80.95,24.13,3.84MB,3.59MB,2
2026-09-22T23:06:35.671777,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:06:35.671777,cloud-app,80.83,24.2,3.89MB,3.63MB,2
2026-09-22T23:06:42.785615,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:06:42.785615,cloud-app,80.21,24.36,3.93MB,3.67MB,2
2026-09-22T23:06:49.870405,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:06:49.870405,cloud-app,83.5,24.23,3.97MB,3.71MB,2
2026-09-22T23:06:56.502024,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:06:56.502024,cloud-app,86.42,24.52,4.01MB,3.75MB,2
2026-09-22T23:07:02.597739,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:07:02.597739,cloud-app,92.39,24.64,4.05MB,3.78MB,2
2026-09-22T23:07:09.701537,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:07:09.701537,cloud-app,0.02,23.34,4.06MB,3.8MB,2
2026-09-22T23:07:16.592613,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:07:16.592613,cloud-app,0.02,23.24,4.06MB,3.8MB,2
2026-09-22T23:07:23.714434,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:07:23.714434,cloud-app,0.02,23.24,4.06MB,3.8MB,2
2026-09-22T23:07:30.819467,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:07:30.819467,cloud-app,0.02,23.18,4.06MB,3.8MB,2
2026-09-22T23:07:37.569836,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:07:37.569836,cloud-app,17.29,24.71,4.07MB,3.8MB,2
2026-09-22T23:07:44.694351,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:07:44.694351,cloud-app,16.94,24.29,4.08MB,3.81MB,2
2026-09-22T23:07:50.798913,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:07:50.798913,cloud-app,16.49,24.08,4.08MB,3.81MB,2
2026-09-22T23:07:57.537999,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:07:57.537999,cloud-app,17.99,23.86,4.09MB,3.82MB,2
2026-09-22T23:08:04.647009,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:08:04.647009,cloud-app,17.07,24.74,4.1MB,3.83MB,2
2026-09-22T23:08:11.796292,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:08:11.796292,cloud-app,17.94,23.82,4.11MB,3.84MB,2
2026-09-22T23:08:18.569328,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:08:18.569328,cloud-app,16.54,23.38,4.12MB,3.85MB,2
2026-09-22T23:08:25.686696,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:08:25.686696,cloud-app,17.58,23.13,4.13MB,3.85MB,2
2026-09-22T23:08:32.824899,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:08:32.824899,cloud-app,17.96,23.87,4.14MB,3.86MB,2
2026-09-22T23:08:40.078715,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:08:40.078715,cloud-app,89.13,24.27,4.17MB,3.89MB,2
2026-09-22T23:08:46.611170,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:08:46.611170,cloud-app,86.11,24.12,4.21MB,3.93MB,2
2026-09-22T23:08:53.708690,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:08:53.708690,cloud-app,86.72,24.04,4.25MB,3.97MB,2
2026-09-22T23:08:59.831548,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:08:59.831548,cloud-app,88.92,23.61,4.3MB,4.01MB,2
2026-09-22T23:09:06.710284,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:09:06.710284,cloud-app,88.38,23.87,4.34MB,4.04MB,2
2026-09-22T23:09:13.813708,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:09:13.813708,cloud-app,86.36,24.73,4.38MB,4.08MB,2
2026-09-22T23:09:20.950864,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:09:20.950864,cloud-app,87.82,24.48,4.43MB,4.13MB,2
2026-09-22T23:09:27.647690,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:09:27.647690,cloud-app,88.53,24.26,4.47MB,4.16MB,2
2026-09-22T23:09:34.748639,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:09:34.748639,cloud-app,86.86,24.2,4.51MB,4.2MB,2
2026-09-22T23:09:41.855869,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:09:41.855869,cloud-app,0.01,23.3,4.51MB,4.21MB,2
2026-09-22T23:09:48.655457,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:09:48.655457,cloud-app,0.02,23.27,4.51MB,4.21MB,2
2026-09-22T23:09:55.773524,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:09:55.773524,cloud-app,0.02,23.09,4.51MB,4.21MB,2
2026-09-22T23:10:02.884913,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:10:02.884913,cloud-app,0.01,23.09,4.51MB,4.21MB,2
2026-09-22T23:10:10.008267,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:10:10.008267,cloud-app,37.11,24.02,4.53MB,4.22MB,2
2026-09-22T23:10:16.655012,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:10:16.655012,cloud-app,37.9,23.31,4.55MB,4.24MB,2
2026-09-22T23:10:23.768109,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:10:23.768109,cloud-app,39.73,24.2,4.57MB,4.26MB,2
2026-09-22T23:10:30.894496,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:10:30.894496,cloud-app,40.96,23.98,4.59MB,4.28MB,2
2026-09-22T23:10:37.730721,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:10:37.730721,cloud-app,37.93,24.07,4.62MB,4.3MB,2
2026-09-22T23:10:44.838339,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:10:44.838339,cloud-app,38.82,24.46,4.63MB,4.32MB,2
2026-09-22T23:10:52.099957,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:10:52.099957,cloud-app,39.94,24.25,4.66MB,4.34MB,2
2026-09-22T23:10:58.691822,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:10:58.691822,cloud-app,39.15,23.75,4.68MB,4.36MB,2
2026-09-22T23:11:05.798676,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:11:05.798676,cloud-app,37.43,23.76,4.7MB,4.37MB,2
2026-09-22T23:11:12.899976,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:11:12.899976,cloud-app,83.57,24.24,4.75MB,4.42MB,2
2026-09-22T23:11:20.001519,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:11:20.001519,cloud-app,78.08,24.22,4.79MB,4.45MB,2
2026-09-22T23:11:26.712724,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:11:26.712724,cloud-app,79.92,24.7,4.84MB,4.5MB,2
2026-09-22T23:11:33.813001,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:11:33.813001,cloud-app,80.7,24.55,4.88MB,4.54MB,2
2026-09-22T23:11:39.916169,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:11:39.916169,cloud-app,79.46,24.31,4.92MB,4.57MB,2
2026-09-22T23:11:46.722237,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:11:46.722237,cloud-app,80.13,24.05,4.96MB,4.61MB,2
2026-09-22T23:11:53.809622,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:11:53.809622,cloud-app,101.77,23.91,5MB,4.65MB,2
2026-09-22T23:12:00.896143,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:12:00.896143,cloud-app,89.79,24.0,5.04MB,4.69MB,2
2026-09-22T23:12:07.748943,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:12:07.748943,cloud-app,0.02,23.61,5.08MB,4.72MB,2
2026-09-22T23:12:14.832622,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:12:14.832622,cloud-app,0.01,23.34,5.08MB,4.72MB,2
2026-09-22T23:12:21.946804,cloud-app-1,0.03,21.68,3.07kB,1.86kB,2
2026-09-22T23:12:21.946804,cloud-app,0.03,23.29,5.08MB,4.72MB,2
2026-09-22T23:12:28.803881,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:12:28.803881,cloud-app,0.02,23.06,5.08MB,4.72MB,2
2026-09-22T23:12:35.935561,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:12:35.935561,cloud-app,0.03,23.06,5.08MB,4.72MB,2
2026-09-22T23:12:43.038598,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:12:43.038598,cloud-app,15.08,24.07,5.09MB,4.73MB,2
2026-09-22T23:12:50.146374,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:12:50.146374,cloud-app,18.77,24.12,5.09MB,4.74MB,2
2026-09-22T23:12:56.824177,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:12:56.824177,cloud-app,14.46,24.21,5.1MB,4.74MB,2
2026-09-22T23:13:03.904717,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:13:03.904717,cloud-app,14.0,24.29,5.11MB,4.75MB,2
2026-09-22T23:13:10.993615,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:13:10.993615,cloud-app,15.29,24.11,5.12MB,4.76MB,2
2026-09-22T23:13:17.823739,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:13:17.823739,cloud-app,16.45,24.17,5.13MB,4.77MB,2
2026-09-22T23:13:24.913788,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:13:24.913788,cloud-app,14.32,23.44,5.14MB,4.77MB,2
2026-09-22T23:13:32.024075,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:13:32.024075,cloud-app,15.39,24.29,5.14MB,4.78MB,2
2026-09-22T23:13:38.833768,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:13:38.833768,cloud-app,39.32,24.91,5.16MB,4.8MB,2
2026-09-22T23:13:45.917224,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:13:45.917224,cloud-app,39.63,23.9,5.18MB,4.81MB,2
2026-09-22T23:13:53.024480,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:13:53.024480,cloud-app,41.92,25.04,5.2MB,4.83MB,2
2026-09-22T23:14:00.111694,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:14:00.111694,cloud-app,39.13,24.1,5.22MB,4.85MB,2
2026-09-22T23:14:06.853462,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:14:06.853462,cloud-app,39.91,23.85,5.25MB,4.87MB,2
2026-09-22T23:14:13.954066,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:14:13.954066,cloud-app,44.02,24.94,5.27MB,4.89MB,2
2026-09-22T23:14:20.041885,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:14:20.041885,cloud-app,43.03,23.97,5.29MB,4.91MB,2
2026-09-22T23:14:26.854881,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:14:26.854881,cloud-app,41.01,24.16,5.31MB,4.93MB,2
2026-09-22T23:14:33.932037,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:14:33.932037,cloud-app,40.08,23.87,5.33MB,4.95MB,2
2026-09-22T23:14:40.020749,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:14:40.020749,cloud-app,84.71,24.66,5.37MB,4.98MB,2
2026-09-22T23:14:46.893067,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:14:46.893067,cloud-app,85.2,24.25,5.41MB,5.02MB,2
2026-09-22T23:14:53.996892,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:14:53.996892,cloud-app,81.71,24.75,5.45MB,5.06MB,2
2026-09-22T23:15:01.082910,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:15:01.082910,cloud-app,81.93,24.14,5.49MB,5.09MB,2
2026-09-22T23:15:07.886252,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:15:07.886252,cloud-app,81.6,23.98,5.54MB,5.14MB,2
2026-09-22T23:15:14.975194,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:15:14.975194,cloud-app,81.75,24.06,5.58MB,5.17MB,2
2026-09-22T23:15:22.062353,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:15:22.062353,cloud-app,81.13,24.18,5.62MB,5.21MB,2
2026-09-22T23:15:28.906795,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:15:28.906795,cloud-app,81.6,24.18,5.67MB,5.26MB,2
2026-09-22T23:15:35.990933,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:15:35.990933,cloud-app,82.35,24.03,5.71MB,5.3MB,2
2026-09-22T23:15:43.110744,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:15:43.110744,cloud-app,0.02,23.11,5.71MB,5.3MB,2
2026-09-22T23:15:50.232970,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:15:50.232970,cloud-app,0.02,23.09,5.71MB,5.3MB,2
2026-09-22T23:15:56.934650,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:15:56.934650,cloud-app,0.01,23.04,5.71MB,5.3MB,2
2026-09-22T23:16:04.022352,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:16:04.022352,cloud-app,0.02,23.04,5.71MB,5.3MB,2
2026-09-22T23:16:11.116775,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:16:11.116775,cloud-app,0.02,23.04,5.71MB,5.3MB,2
2026-09-22T23:16:17.945587,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:16:17.945587,cloud-app,0.02,23.04,5.71MB,5.3MB,2
2026-09-22T23:16:25.079281,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:16:25.079281,cloud-app,0.02,23.04,5.71MB,5.3MB,2
