timestamp,cpu,memory,request_rate,network,latency,resource_count
2026-01-01 02:15:00,26.88,43.24,35.32,4.9,20.51,2
2026-01-01 02:16:00,27.49,46.7,43.85,4.16,21.46,2
2026-01-01 02:17:00,25.25,40.8,40.02,1.67,17.19,2
2026-01-01 02:18:00,27.87,39.09,38.81,1.3,21.64,2
2026-01-01 02:19:00,27.05,43.57,43.37,1.36,19.93,2
2026-01-01 02:20:00,25.98,45.2,37.35,4.17,21.31,2
2026-01-01 02:21:00,26.93,46.82,39.1,5.11,19.74,2
2026-01-01 02:22:00,29.45,44.38,46.11,6.69,16.52,2
2026-01-01 02:23:00,27.28,43.72,37.98,4.49,19.68,2
2026-01-01 02:24:00,27.59,46.96,39.47,5.1,21.56,2
2026-01-01 02:25:00,28.46,41.22,41.21,2.63,18.78,2
2026-01-01 02:26:00,29.72,44.62,45.42,2.13,19.77,2
2026-01-01 02:27:00,29.33,45.64,39.2,4.61,20.01,2
2026-01-01 02:28:00,27.83,45.64,33.06,3.44,15.66,2
2026-01-01 02:29:00,26.41,43.22,36.63,3.27,22.26,2
2026-01-01 02:30:00,27.01,44.52,38.78,3.88,18.51,2
2026-01-01 02:31:00,25.79,39.05,40.53,3.93,20.4,2
2026-01-01 02:32:00,22.36,41.51,42.62,5.55,18.9,2
2026-01-01 02:33:00,24.95,44.64,39.41,5.29,21.38,2
2026-01-01 02:34:00,27.44,42.64,41.02,4.3,20.55,2
2026-01-01 02:35:00,24.29,43.62,42.8,4.91,19.02,2
2026-01-01 02:36:00,24.03,44.31,39.41,4.12,17.99,2
2026-01-01 02:37:00,26.99,43.76,49.18,3.49,21.06,2
2026-01-01 02:38:00,31.22,46.27,51.22,5.49,17.81,2
2026-01-01 02:39:00,30.46,43.73,44.76,1.71,21.45,2
2026-01-01 02:40:00,29.07,44.76,48.07,5.67,18.58,2
2026-01-01 02:41:00,28.63,46.24,42.95,1.86,22.03,2
2026-01-01 02:42:00,30.96,46.15,47.05,4.43,20.82,2
2026-01-01 02:43:00,29.84,44.27,52.68,3.21,21.34,2
2026-01-01 02:44:00,28.56,45.44,47.96,4.91,20.26,2
2026-01-01 02:45:00,28.52,46.41,52.54,4.41,17.5,2
2026-01-01 02:46:00,27.89,40.66,54.0,2.2,18.73,2
2026-01-01 02:47:00,29.33,47.58,57.39,5.51,21.29,2
2026-01-01 02:48:00,33.11,45.92,65.88,4.73,21.21,2
2026-01-01 02:49:00,33.42,47.55,62.99,6.68,22.79,2
2026-01-01 02:50:00,32.39,48.73,57.78,4.91,21.43,2
2026-01-01 02:51:00,31.27,43.2,52.31,5.04,19.18,2
2026-01-01 02:52:00,28.32,43.49,47.64,2.61,18.9,2
2026-01-01 02:53:00,30.03,44.93,47.05,3.12,20.56,2
2026-01-01 02:54:00,29.8,43.86,48.59,3.44,16.89,2
2026-01-01 02:55:00,29.58,48.82,49.69,5.51,22.83,2
2026-01-01 02:56:00,34.76,45.45,53.45,7.06,21.92,2
2026-01-01 02:57:00,33.74,45.7,52.84,3.28,22.91,2
2026-01-01 02:58:00,31.97,46.6,59.48,6.67,18.38,2
2026-01-01 02:59:00,31.13,43.49,57.0,1.59,22.47,2
2026-01-01 03:00:00,33.83,46.05,69.64,4.13,24.44,2
2026-01-01 03:01:00,34.12,47.58,70.79,4.58,19.16,2
2026-01-01 03:02:00,31.53,45.37,64.44,3.45,21.83,2
2026-01-01 03:03:00,32.9,46.33,57.53,2.52,20.92,2
2026-01-01 03:04:00,31.51,44.97,58.94,5.63,18.35,2
2026-01-01 03:05:00,34.26,43.96,56.71,4.5,21.91,2
2026-01-01 03:06:00,35.04,47.91,59.34,5.61,22.56,2
2026-01-01 03:07:00,33.35,50.18,60.56,6.18,20.1,2
2026-01-01 03:08:00,34.72,47.19,58.95,5.41,23.0,2
2026-01-01 03:09:00,33.42,47.15,53.6,5.54,18.52,2
2026-01-01 03:10:00,33.18,48.0,45.34,3.75,18.73,2
2026-01-01 03:11:00,32.31,43.77,43.08,1.88,21.02,2
2026-01-01 03:12:00,30.06,48.93,47.52,5.63,20.45,2
2026-01-01 03:13:00,28.96,45.54,48.39,3.23,19.14,2
2026-01-01 03:14:00,30.3,48.87,41.89,2.16,21.67,2
2026-01-01 03:15:00,29.2,43.76,43.0,3.39,21.05,2
2026-01-01 03:16:00,28.53,48.62,45.09,2.46,21.42,2
2026-01-01 03:17:00,26.96,45.99,40.66,2.83,19.67,2
2026-01-01 03:18:00,28.08,45.94,41.78,4.07,20.96,2
2026-01-01 03:19:00,31.31,46.43,42.33,4.12,19.97,2
2026-01-01 03:20:00,28.33,44.42,36.83,1.78,23.18,2
2026-01-01 03:21:00,28.2,47.27,39.27,2.61,18.86,2
2026-01-01 03:22:00,30.42,45.93,42.53,5.23,23.63,2
2026-01-01 03:23:00,30.03,41.58,48.14,4.84,20.46,2
2026-01-01 03:24:00,30.92,43.59,53.16,7.63,18.5,2
2026-01-01 03:25:00,28.7,44.67,45.62,5.65,22.22,2
2026-01-01 03:26:00,29.16,45.82,40.88,5.19,20.44,2
2026-01-01 03:27:00,28.74,44.94,43.79,1.64,21.45,2
2026-01-01 03:28:00,30.41,48.08,46.45,5.09,22.31,2
2026-01-01 03:29:00,31.97,42.29,48.91,4.08,21.26,2
2026-01-01 03:30:00,36.42,48.03,67.86,4.94,20.67,2
2026-01-01 03:31:00,36.36,44.09,68.89,6.11,23.01,2
2026-01-01 03:32:00,36.21,49.19,72.65,7.59,21.52,2
2026-01-01 03:33:00,36.09,47.44,75.21,7.14,22.53,2
2026-01-01 03:34:00,35.25,48.18,76.05,5.15,18.12,2
2026-01-01 03:35:00,35.46,45.68,71.99,7.23,22.05,2
2026-01-01 03:36:00,34.76,49.73,73.63,5.3,20.3,2
2026-01-01 03:37:00,34.57,49.18,67.47,6.06,23.7,2
2026-01-01 03:38:00,35.96,48.75,64.49,5.03,22.41,2
2026-01-01 03:39:00,33.1,46.33,60.5,4.81,21.32,2
2026-01-01 03:40:00,34.4,48.2,59.67,6.22,21.92,2
2026-01-01 03:41:00,36.24,46.27,70.07,4.4,20.03,2
2026-01-01 03:42:00,34.49,48.78,58.73,7.91,23.64,2
2026-01-01 03:43:00,30.51,48.98,61.06,2.46,23.48,2
2026-01-01 03:44:00,29.54,47.48,51.71,3.5,20.91,2
2026-01-01 03:45:00,31.56,44.59,48.82,4.7,23.07,2
2026-01-01 03:46:00,31.26,46.66,53.96,5.46,19.77,2
2026-01-01 03:47:00,29.57,42.76,53.56,4.4,19.13,2
2026-01-01 03:48:00,28.79,46.22,47.49,3.95,20.24,2
2026-01-01 03:49:00,30.03,46.41,43.71,4.33,21.06,2
2026-01-01 03:50:00,30.65,41.99,47.21,3.67,19.93,2
2026-01-01 03:51:00,29.6,43.04,43.38,5.78,21.13,2
2026-01-01 03:52:00,28.81,44.52,44.6,5.05,20.65,2
2026-01-01 03:53:00,28.28,44.3,44.86,5.12,18.59,2
2026-01-01 03:54:00,26.91,42.0,41.61,2.09,20.62,2
2026-01-01 03:55:00,30.6,46.49,52.6,4.35,21.8,2
2026-01-01 03:56:00,30.27,46.1,55.16,4.24,20.71,2
2026-01-01 03:57:00,31.59,45.67,44.22,2.25,22.42,2
2026-01-01 03:58:00,32.98,45.03,45.22,4.38,19.11,2
2026-01-01 03:59:00,32.87,48.6,41.89,2.75,21.62,2
2026-01-01 04:00:00,30.97,49.15,46.4,4.93,18.82,2
2026-01-01 04:01:00,30.7,44.78,42.33,1.99,18.85,2
2026-01-01 04:02:00,29.85,44.22,41.97,6.15,19.43,2
2026-01-01 04:03:00,28.18,45.85,44.74,2.46,18.66,2
2026-01-01 04:04:00,29.24,44.52,49.09,4.5,19.44,2
2026-01-01 04:05:00,27.23,44.25,42.76,4.82,19.58,2
2026-01-01 04:06:00,29.37,46.76,41.26,2.65,21.54,2
2026-01-01 04:07:00,28.14,41.03,39.19,4.61,19.58,2
2026-01-01 04:08:00,28.14,47.48,36.39,1.25,17.69,2
2026-01-01 04:09:00,28.93,45.27,45.9,6.08,21.92,2
2026-01-01 04:10:00,28.76,44.24,47.86,4.09,18.92,2
2026-01-01 04:11:00,29.47,45.14,41.32,2.62,20.22,2
2026-01-01 04:12:00,28.68,44.96,46.21,3.48,20.83,2
2026-01-01 04:13:00,30.92,42.36,56.72,6.03,20.86,2
2026-01-01 04:14:00,29.34,48.26,60.95,4.3,21.92,2
2026-01-01 04:15:00,29.91,45.55,52.07,3.3,21.1,2
2026-01-01 04:16:00,32.78,47.36,49.09,3.84,19.61,2
2026-01-01 04:17:00,30.67,47.64,55.09,2.92,23.79,2
2026-01-01 04:18:00,29.47,43.27,50.75,7.04,20.6,2
2026-01-01 04:19:00,30.6,46.66,52.51,3.61,20.29,2
2026-01-01 04:20:00,31.06,45.34,55.78,5.99,22.04,2
2026-01-01 04:21:00,31.24,47.63,50.28,4.59,21.0,2
2026-01-01 04:22:00,31.51,41.77,49.56,2.74,21.27,2
2026-01-01 04:23:00,30.74,45.56,32.99,2.8,24.27,2
2026-01-01 04:24:00,30.66,44.53,28.83,3.63,20.11,2
2026-01-01 04:25:00,29.57,46.21,28.86,2.17,19.85,2
2026-01-01 04:26:00,27.53,45.58,23.91,3.82,20.13,2
2026-01-01 04:27:00,28.27,43.48,33.76,4.4,21.7,2
2026-01-01 04:28:00,30.15,44.13,27.51,3.72,18.17,2
2026-01-01 04:29:00,28.27,44.67,26.71,1.58,17.14,2
2026-01-01 04:30:00,25.93,42.28,28.83,1.0,18.79,2
2026-01-01 04:31:00,28.13,46.53,37.33,2.25,17.61,2
2026-01-01 04:32:00,27.26,43.8,30.76,2.91,19.27,2
2026-01-01 04:33:00,24.1,37.62,37.72,4.02,20.09,2
2026-01-01 04:34:00,26.62,43.57,38.35,1.0,18.46,2
2026-01-01 04:35:00,25.88,41.98,33.97,2.88,17.52,2
2026-01-01 04:36:00,26.29,40.94,37.17,3.4,19.84,2
2026-01-01 04:37:00,27.3,42.08,38.79,2.88,21.21,2
2026-01-01 04:38:00,27.57,44.87,36.28,5.02,17.42,2
2026-01-01 04:39:00,28.6,47.67,37.33,3.81,21.38,2
2026-01-01 04:40:00,27.46,45.24,36.02,5.03,21.17,2
2026-01-01 04:41:00,28.23,43.67,37.3,2.85,21.51,2
2026-01-01 04:42:00,27.84,45.66,41.23,4.91,21.84,2
2026-01-01 04:43:00,29.67,44.47,49.46,6.66,23.64,2
2026-01-01 04:44:00,30.21,44.19,42.92,5.62,19.9,2
2026-01-01 04:45:00,29.0,42.84,53.75,2.93,20.38,2
2026-01-01 04:46:00,30.51,42.17,43.29,3.3,19.87,2
2026-01-01 04:47:00,29.01,44.37,42.67,3.11,20.23,2
2026-01-01 04:48:00,30.28,45.91,45.79,4.63,22.75,2
2026-01-01 04:49:00,30.53,45.49,47.14,5.04,18.48,2
2026-01-01 04:50:00,32.67,45.6,43.85,2.47,19.59,2
2026-01-01 04:51:00,30.9,43.92,42.9,3.75,22.63,2
2026-01-01 04:52:00,29.41,46.51,40.61,1.0,21.82,2
2026-01-01 04:53:00,28.75,42.43,38.01,5.39,19.63,2
2026-01-01 04:54:00,28.23,46.43,42.82,2.87,21.36,2
2026-01-01 04:55:00,29.68,43.38,44.78,3.89,20.85,2
2026-01-01 04:56:00,26.76,42.86,41.33,3.05,22.07,2
2026-01-01 04:57:00,26.04,41.18,46.12,5.64,19.8,2
2026-01-01 04:58:00,25.66,42.98,47.57,1.0,21.16,2
2026-01-01 04:59:00,28.7,47.0,51.43,4.35,24.13,2
2026-01-01 05:00:00,32.01,47.23,54.06,4.44,21.66,2
2026-01-01 05:01:00,31.09,47.84,49.19,3.5,20.67,2
2026-01-01 05:02:00,30.18,46.61,46.06,6.5,21.52,2
2026-01-01 05:03:00,30.2,43.36,49.71,2.89,19.89,2
2026-01-01 05:04:00,32.04,45.55,52.38,5.61,24.35,2
2026-01-01 05:05:00,30.05,43.96,51.69,4.93,20.68,2
2026-01-01 05:06:00,30.51,48.34,51.74,6.29,20.08,2
2026-01-01 05:07:00,32.33,43.92,57.59,3.89,19.57,2
2026-01-01 05:08:00,32.52,48.17,53.62,3.46,22.5,2
2026-01-01 05:09:00,32.32,48.1,55.67,6.38,22.12,2
2026-01-01 05:10:00,33.27,50.31,53.8,5.21,20.24,2
2026-01-01 05:11:00,28.21,44.06,52.01,2.1,20.94,2
2026-01-01 05:12:00,30.34,47.04,56.94,4.03,18.2,2
2026-01-01 05:13:00,29.95,50.05,60.12,5.69,20.67,2
2026-01-01 05:14:00,28.13,43.61,62.97,6.61,20.74,2
2026-01-01 05:15:00,30.82,42.72,68.06,4.77,23.11,2
2026-01-01 05:16:00,33.73,43.05,66.32,1.27,19.92,2
2026-01-01 05:17:00,33.48,48.14,68.03,6.57,19.11,2
2026-01-01 05:18:00,34.72,43.38,64.63,3.66,19.91,2
2026-01-01 05:19:00,36.51,47.03,64.68,2.47,19.57,2
2026-01-01 05:20:00,37.08,48.85,62.46,1.06,23.68,2
2026-01-01 05:21:00,37.87,48.62,61.55,6.45,24.14,2
2026-01-01 05:22:00,37.15,48.85,63.2,5.56,22.17,2
2026-01-01 05:23:00,35.3,47.8,57.65,4.56,23.19,2
2026-01-01 05:24:00,32.24,48.84,67.1,7.79,21.0,2
2026-01-01 05:25:00,31.81,44.23,60.3,6.08,20.58,2
2026-01-01 05:26:00,30.12,44.19,53.01,6.93,19.92,2
2026-01-01 05:27:00,33.91,45.32,58.16,2.85,20.64,2
2026-01-01 05:28:00,33.05,48.23,61.06,5.14,18.63,2
2026-01-01 05:29:00,33.07,48.38,62.9,2.92,21.35,2
2026-01-01 05:30:00,33.85,47.75,64.61,5.15,21.03,2
2026-01-01 05:31:00,33.47,49.08,62.98,4.98,22.14,2
2026-01-01 05:32:00,35.29,45.0,57.05,5.79,21.49,2
2026-01-01 05:33:00,32.96,49.87,56.47,4.87,20.69,2
2026-01-01 05:34:00,32.37,49.38,52.17,5.37,19.52,2
2026-01-01 05:35:00,30.88,47.28,56.47,5.85,20.67,2
2026-01-01 05:36:00,28.93,48.69,54.82,7.89,21.31,2
2026-01-01 05:37:00,28.38,41.62,49.9,3.77,18.39,2
2026-01-01 05:38:00,28.74,44.01,47.9,2.66,20.31,2
2026-01-01 05:39:00,28.52,43.51,49.74,4.6,20.48,2
2026-01-01 05:40:00,27.76,46.16,46.54,2.75,18.92,2
2026-01-01 05:41:00,25.89,41.96,42.3,5.82,18.78,2
2026-01-01 05:42:00,26.77,45.88,43.74,3.29,20.16,2
2026-01-01 05:43:00,25.3,46.59,45.06,2.98,17.85,2
2026-01-01 05:44:00,27.56,46.04,42.52,2.91,20.49,2
2026-01-01 05:45:00,27.86,45.32,40.37,4.51,18.67,2
2026-01-01 05:46:00,25.86,42.07,41.9,3.32,21.25,2
2026-01-01 05:47:00,25.79,42.33,34.91,2.0,23.15,2
2026-01-01 05:48:00,24.64,46.12,28.68,4.94,18.14,2
2026-01-01 05:49:00,25.34,45.43,26.39,1.0,20.36,2
2026-01-01 05:50:00,27.36,44.5,26.81,2.33,18.83,2
2026-01-01 05:51:00,24.06,42.58,29.82,3.51,20.89,2
2026-01-01 05:52:00,25.5,39.87,38.41,1.0,17.69,2
2026-01-01 05:53:00,26.36,42.08,43.23,4.39,20.47,2
2026-01-01 05:54:00,28.12,48.67,42.57,2.04,18.75,2
2026-01-01 05:55:00,28.59,42.44,42.67,4.86,19.83,2
2026-01-01 05:56:00,27.1,44.86,37.84,1.77,18.33,2
2026-01-01 05:57:00,26.82,46.4,38.32,4.3,21.06,2
2026-01-01 05:58:00,25.86,41.54,37.41,4.84,18.4,2
2026-01-01 05:59:00,28.2,45.24,39.63,4.66,20.9,2
2026-01-01 06:00:00,28.18,46.74,40.33,3.8,19.56,2
2026-01-01 06:01:00,31.51,46.05,47.7,3.71,20.5,2
2026-01-01 06:02:00,31.56,51.78,59.55,4.2,20.9,2
2026-01-01 06:03:00,30.81,42.45,62.24,7.5,19.4,2
2026-01-01 06:04:00,29.46,47.43,67.27,4.67,20.62,2
2026-01-01 06:05:00,28.58,44.66,73.34,4.68,22.44,2
2026-01-01 06:06:00,28.34,46.46,73.46,7.24,18.93,2
2026-01-01 06:07:00,31.19,46.8,76.71,5.33,22.37,2
2026-01-01 06:08:00,33.54,45.27,78.63,5.26,23.28,2
2026-01-01 06:09:00,32.09,46.69,80.83,4.71,19.55,2
2026-01-01 06:10:00,34.7,43.43,78.5,5.95,19.06,2
2026-01-01 06:11:00,34.45,48.26,80.34,6.71,21.65,2
2026-01-01 06:12:00,35.52,48.03,84.4,7.54,20.57,2
2026-01-01 06:13:00,39.01,49.93,92.91,9.32,24.82,2
2026-01-01 06:14:00,40.58,51.32,98.27,9.14,22.36,2
2026-01-01 06:15:00,40.62,49.95,109.18,8.99,21.11,2
2026-01-01 06:16:00,39.39,49.08,104.61,8.59,20.37,2
2026-01-01 06:17:00,36.98,46.18,108.6,10.0,23.29,2
2026-01-01 06:18:00,37.57,46.73,108.83,11.16,20.91,2
2026-01-01 06:19:00,39.44,51.18,119.07,10.31,22.17,2
2026-01-01 06:20:00,39.1,51.56,113.5,8.94,23.47,2
2026-01-01 06:21:00,39.79,48.45,108.22,7.71,21.44,2
2026-01-01 06:22:00,40.3,49.2,104.57,6.72,22.19,2
2026-01-01 06:23:00,39.41,46.98,93.58,8.95,22.07,2
2026-01-01 06:24:00,38.04,50.66,91.47,8.64,22.87,2
2026-01-01 06:25:00,38.17,49.69,88.36,8.38,22.76,2
2026-01-01 06:26:00,38.77,52.45,90.04,7.46,21.65,2
2026-01-01 06:27:00,37.05,46.21,92.54,9.98,21.76,2
2026-01-01 06:28:00,40.37,48.37,102.52,7.99,21.71,2
2026-01-01 06:29:00,40.59,49.67,107.07,10.53,20.09,2
2026-01-01 06:30:00,40.66,50.53,103.62,8.75,22.71,2
2026-01-01 06:31:00,41.41,49.06,98.84,7.49,25.29,2
2026-01-01 06:32:00,41.37,47.73,101.39,9.51,21.12,2
2026-01-01 06:33:00,41.95,51.44,94.68,8.66,21.39,2
2026-01-01 06:34:00,41.99,51.14,104.26,9.4,21.25,2
2026-01-01 06:35:00,41.06,47.54,109.82,9.46,23.48,2
2026-01-01 06:36:00,41.7,52.31,106.69,9.01,23.18,2
2026-01-01 06:37:00,39.22,51.07,97.59,11.88,21.82,2
